user|来源|认为有用人数|类型|评论时间|comment
user|来源|认为有用人数|类型|评论时间|comment
user|来源|认为有用人数|类型|评论时间|comment
user|来源|认为有用人数|类型|评论时间|comment
user|来源|认为有用人数|类型|评论时间|comment
user|来源|认为有用人数|类型|评论时间|comment
user|来源|认为有用人数|类型|评论时间|comment
user|来源|认为有用人数|类型|评论时间|comment
user|来源|认为有用人数|类型|评论时间|comment
user|来源|认为有用人数|类型|评论时间|comment
user|来源|认为有用人数|类型|评论时间|comment
user|来源|认为有用人数|类型|评论时间|comment
user|来源|认为有用人数|类型|comment
海东的海|比亚迪F3论坛|3140|中评|底盘悬挂偏软（非常适合入手后更换短弹簧或运动型避震器）但并未出现给人不安全感，个人感觉改装的潜力巨大
海东的海|比亚迪F3论坛|3137|好评|座椅感觉很柔软，没有神车那种硬邦邦的感觉，做起来还是比较舒服的
海东的海|比亚迪F3论坛|3138|好评|后排空间得益于加长的轴距，加长的长度一丝不落的给了后排腿部空间，家庭使用空间充裕
海东的海|比亚迪F3论坛|3137|好评|后备箱空间足够用了，但开口较小
自由中飞翔|比亚迪论坛|65|好评|66电子配置很多
自由中飞翔|比亚迪论坛|67|好评|车子动力很好
自由中飞翔|比亚迪论坛|55|好评|空调效果灰常好，制冷很快
自由中飞翔|比亚迪论坛|56|好评|操控手感很好
自由中飞翔|比亚迪论坛|68|好评|车子外观我很喜欢
猴子买汽车|比亚迪论坛|60|好评|F3不仅外观大气，安全可靠，节油性能和操控性能也非常出众，是自驾出行的忠实伙伴。
猴子买汽车|比亚迪论坛|60|好评|车上的许多安全配置也为车主提供各方面的保护。
猴子买汽车|比亚迪论坛|45|好评|在资讯安全方面，比亚迪2013款F3豪华型装配有倒车雷达、安全带未系警示，细致周到的配置充分体现人性化。
猴子买汽车|比亚迪论坛|50|中评|百公里综合工况油耗降低为6.2L，拥有良好的节油性能。
猴子买汽车|比亚迪论坛|57|好评|在自驾途中，F3的表现让人印象深刻，在加速过程中能够明显感受到车辆的动力表现出众，虽然是手动挡车型，但是由于离合器调校到位且变速箱匹配良好，所以整个加速过程十分顺畅。
猴子买汽车|比亚迪论坛|53|好评|由于F3底盘调教的韧性十足，在过山路弯道测时，F3车身的倾斜度始终牢牢控制在一定的范围内，确保了乘坐的舒适性和安全性，也带给车主极大的操控享受。
xuser5360490|比亚迪F3论坛|396|好评|优点当然是外观不错
xuser5360490|比亚迪F3论坛|398|好评|空间很大
xuser5360490|比亚迪F3论坛|391|差评|车有异响，好像是车门里还是哪，开到100以上异响就会突出。天气冷时皮带会响
xuser5360490|比亚迪F3论坛|393|差评|内饰我觉得能做的更好！有些链接缝其实能做的在细点
xuser5360490|比亚迪F3论坛|383|差评|空调不够冷
football晨|比亚迪论坛|35623|中评|就是 离合器 有点高
football晨|比亚迪论坛|35600|好评|也挺省油的
木匠哥|比亚迪F3论坛|222|好评|总体上，比较适合钱少的主儿。除了正常的保养费用，我感觉5年来没有花过多少冤枉钱。维护费用低，而且维修点多，维修方便，是个车场都可以修。
木匠哥|比亚迪F3论坛|230|好评|发动机真的不错。4G18的发动机工作了5年，声音、力量都不错。不像一些车用过几年发动机就嗡嗡叫。高速上可以轻松上140，不存在超车困难的问题，当然是指一般情况下。你非要超大奔那是你的事儿。
木匠哥|比亚迪F3论坛|230|中评|内饰一般。比上不足比下有余，用过五年的车，你再看我的内饰。
木匠哥|比亚迪F3论坛|212|差评|隔音效果不好。我的是GLI版，机舱和尾箱都没有隔音棉，路面不好或高速120以上时发动机的声音还是比较大。如果做做隔音应该会好一些，但不想花那钱了。
木匠哥|比亚迪F3论坛|227|差评|板金的确不好。有种铁皮做的感觉，用力压就会变形。
木匠哥|比亚迪F3论坛|212|差评|漆面很软，稍微不注意就会刮花掉。
木匠哥|比亚迪F3论坛|225|差评|底盘高带来了侧倾大，过急弯时侧倾比较厉害
木匠哥|比亚迪F3论坛|231|好评|优点是通过性比较好
木匠哥|比亚迪F3论坛|224|差评|悬挂比较软，乘车的人容易晕车。
沧海大雁|比亚迪F3论坛|842|中评|经常在论坛里看兄弟们谈油耗，我也来谈谈我自己的感受，我一般在家里的话，走市区路多，基本上100块钱的油（7.45/升）大概就是跑170公里左右。去年8月份，从黄冈这边出发到南京，来回两天，1300多公里，大概有100公里的市区路，坐两个人，全程开空调，以加油到跳枪为准统计的，就是6个油。
有梦的孩子|比亚迪论坛|155|中评|外观：比亚迪F3，外观比较中规中矩，属于典型的家用车，外形和丰田花冠相似，属于仿造，后尾灯仿造本田思迪，因为属于比亚迪公司第一款量产车，只能用中庸来形容，但是比花冠好一点是，线条更加流畅，不乏动感之处。缺点在于过多仿造气息，无新意
有梦的孩子|比亚迪论坛|163|差评|另外钣金和烤漆不尽人意。
有梦的孩子|比亚迪论坛|146|好评|2012款比亚迪F3，做工有不错的提升，有兴趣的车友可以去4S店观赏试驾。
有梦的孩子|比亚迪论坛|146|差评|内饰：比亚迪F3的操控台和丰田花冠几乎一摸一样，但是工艺比丰田要差，操控台大量采用硬质塑胶，看上去比较生硬
有梦的孩子|比亚迪论坛|153|差评|另外缝隙处比较大，有很大的提升空间
有梦的孩子|比亚迪论坛|153|好评|车内储物空间很多，不管大的小的物品一一能够装下。
有梦的孩子|比亚迪论坛|163|好评|全车采用打孔真皮座椅，舒适性和包裹性不错
有梦的孩子|比亚迪论坛|156|好评|前排空间稍大
有梦的孩子|比亚迪论坛|161|差评|后排腿部空间稍小，坐三个人略显拥挤。　　
有梦的孩子|比亚迪论坛|154|差评|比亚迪F3的方向盘稍重，在城市倒车移动时稍有吃力，但是在高速行驶时提供了稳定性。
有梦的孩子|比亚迪论坛|158|好评|因为是一款家用车，操作可以说比较稳重
有梦的孩子|比亚迪论坛|145|中评|因为采用了一款沈阳航天4G15的三菱发动机，动力只是刚刚够用，在超车和高速驾驶时有点力不从心，但是在市区里面，还是比较给力。　　
有梦的孩子|比亚迪论坛|154|中评|在城市中行驶的油耗在8升
有梦的孩子|比亚迪论坛|159|中评|高速上为6升
有梦的孩子|比亚迪论坛|155|中评|综合为7升/百公里。
xuser5044709|比亚迪F3论坛|1338|好评|用车到现在两年多没出过毛病
xuser5044709|比亚迪F3论坛|1330|差评|有段时间关门了那个仪表上的门没关住的指示灯还亮
xuser5044709|比亚迪F3论坛|1335|好评|本人车子非常好关！不用劲就可以关好！
xuser5044709|比亚迪F3论坛|1327|差评|离合器前段时间不好进档！
xuser5044709|比亚迪F3论坛|1341|差评|f3除了外观的空隙大了点外！到目前为止还没出过任何问题！
西部歌王|比亚迪F3论坛|2061|差评|首先说说外观方面,08年那时,小3算是最有性价比的车型了,只是做工不够精细,油漆质量不太满意
西部歌王|比亚迪F3论坛|2066|差评|内饰方面,除了那个低档的真皮座椅外,其它好象没什么可以讲的,好在朋友送了个好帮手公司产的DVD导航,原车的CD机因收音机收音清楚,刚满两年就告吹
西部歌王|比亚迪F3论坛|2070|差评|由于忍受不了开快车的噪音和夏天空调制冷效果太差,08年底就全车加做隔音,花了两千多大洋,算是过得去.
西部歌王|比亚迪F3论坛|2060|差评|动力方面,本人性格激进,买车的当初一两年,开车是疯狂得可以了,回想起来也觉得可笑,平时路上见不得有车从我的后面冲过去我的前面,即使过去了,也非得再次去超过不可,因而当初想过了很多改善动力的点,无奈,既怕影响车的质量稳定性,又怕年审过不了关,最终告吹
西部歌王|比亚迪F3论坛|2062|好评|底盘方面,说实话,原车的底盘,温柔驾使还是够用
西部歌王|比亚迪F3论坛|2072|差评|保修期内换了两次减震,原因是有响声.
爱吃鸡腿堡|比亚迪F3论坛|2240|中评|11年11月（32000公里），暖风水箱漏水，换了一个，还得把全部冷冻液换掉（反正买车四年没换过），前门的升降器烧了一个点，换了个升降器（300元），一共1200元；
爱吃鸡腿堡|比亚迪F3论坛|2240|差评|车子加速就咯噔咯噔的，冷车启动还有吱吱声
爱吃鸡腿堡|比亚迪F3论坛|2234|差评|不好的地方，油耗不像宣传的那么少，我的城市中心路况，上下班繁华地区，百公里9.5-10个油
爱吃鸡腿堡|比亚迪F3论坛|2218|差评|配件价格高，配件质量差
zhchangjiang|比亚迪论坛|176|中评|太多肩疑问．这次正单仔加油．油耗高达12升／100km.亚源的油枪有问题、油质也有疑问．再有就是我的车有了问题？
长不低|比亚迪F3论坛|840|好评|驾驶者通过按键，可轻松使实现纯电动(EV)和混合动力(EV+HEV)两种模式之间自由切换
长不低|比亚迪F3论坛|835|好评|另外，F3DM低碳版搭载了最新科技的BYD371QA全铝发动机，升功率突破了50KW/L；而DM双模系统大幅度提高了输出的功率和扭矩，配合75KW的电机，F3DM低碳版输出功率达到了125KW。
maif3|比亚迪F3论坛|553|中评|平均油耗开空调8个多
maif3|比亚迪F3论坛|569|中评|平均油耗：7.66 升/百公里
淡定突围|比亚迪F3论坛|440|好评|服务也是一流的
houql|比亚迪F3论坛|329|差评|车子发动或加油时有金属碰撞声
houql|比亚迪F3论坛|503|差评|汽车发动或加速时有异响， 就像金属碰击声，哗啦哗啦的感觉
radeon97|比亚迪F3论坛|203|好评|油耗低、6L/100km
radeon97|比亚迪F3论坛|208|差评|车皮太薄
radeon97|比亚迪F3论坛|202|差评|内饰塑料味严重
radeon97|比亚迪F3论坛|209|差评|4G发动机2800-3000转之间共振，噪音极大
大地fiklo|比亚迪F3论坛|101|差评|停放时间较长以后（半天以上），打着火后，发动机轰鸣声较大
大地fiklo|比亚迪F3论坛|89|差评|原来的右后门不好关，发展到几乎每个门都很硬，不用力，就关不着
大地fiklo|比亚迪F3论坛|83|差评|刹车如果轻踩，要好点，急刹时候感觉有?吭坑的声音
大地fiklo|比亚迪F3论坛|99|好评|油耗经过多次计算。市区约8。3左右/100公里
大地fiklo|比亚迪F3论坛|98|好评|高速约为：6。5--6。8/100公里
sohuklsv6|比亚迪F3论坛|156|好评|这款车子的外型大气
sohuklsv6|比亚迪F3论坛|151|好评|40000公里我车基本没有进过修理厂，除了32000的时候朋友的儿子发脾气把副驾驶位置的玻璃支架晃断，花了80元搞定
sohuklsv6|比亚迪F3论坛|164|好评|作为6万元以内的车子，F3的噪音算是控制比较好的
sohuklsv6|比亚迪F3论坛|144|好评|这款车的机器虽然比较老。但质量稳定，发动机怠速平稳并且比较省油
sohuklsv6|比亚迪F3论坛|160|好评|配置比较全面，四轮盘刹，ABS，四门电动窗，电动后视镜等主流配置都有
sohuklsv6|比亚迪F3论坛|159|差评|钣金是比较差，车门（我的是右前门）不好关，要用一点力气，不过还能勉强接受。
sohuklsv6|比亚迪F3论坛|147|差评|油门卡的问题我也遇到过
sohuklsv6|比亚迪F3论坛|146|差评|刹车异响，估计是刹车盘质量问题，每次踩刹车总能听到一阵刺耳的摩擦声，很是不爽
sohuklsv6|比亚迪F3论坛|159|差评|漆面真的很薄很脆弱，稍微硬点的东西一挂就会留下印记
sohuklsv6|比亚迪F3论坛|146|差评|很多该有的配置都被厂家省去
sohuklsv6|比亚迪F3论坛|157|差评|可能是减配原因，现在的手标好像是2个喇叭，音响效果只能说是比较清楚，至于低音，基本没有
sohuklsv6|比亚迪F3论坛|150|好评|时速100以内车辆的噪音变化不大
sohuklsv6|比亚迪F3论坛|158|中评|超过100风噪胎噪明显加大但还能让人接受
sohuklsv6|比亚迪F3论坛|143|好评|140以内车身还是比较稳
sohuklsv6|比亚迪F3论坛|147|好评|小3的油耗让我比较满意。市区内基本保持在7-7.2个
sohuklsv6|比亚迪F3论坛|148|好评|高速110左右的时速油耗基本控制在6个左右
zxypz147|比亚迪F3论坛|138|差评|车漆质量与同类车相比差一些，容易掉漆
zxypz147|比亚迪F3论坛|144|差评|雨刮很响，应改进
zxypz147|比亚迪F3论坛|145|差评|刹车的尖叫声很厉害
zxypz147|比亚迪F3论坛|140|差评|超车提速较慢
zxypz147|比亚迪F3论坛|148|中评|油耗市区8L
zxypz147|比亚迪F3论坛|142|中评|长途6L
zxypz147|比亚迪F3论坛|146|差评|车辆防盗报警装置不报警，有一次车停在商场外，被另一辆车碰坏左前门，都没有报警，幸好我在离车不远处及时发现，要不然
zxypz147|比亚迪F3论坛|143|差评|刹车油和防冻液有流失现象
一日又一日|比亚迪F3论坛|234|差评|离合器踏板不完全回位
一日又一日|比亚迪F3论坛|232|差评|松离合给油时，偶尔车子会一冲一冲的
BYD你让我好不爽|比亚迪F3论坛|1036|差评|踩下离合，不回位，要用手掰起来
BYD你让我好不爽|比亚迪F3论坛|1038|差评|开的时候会咔咔的发出响声，方向盘也会震动
BYD你让我好不爽|比亚迪F3论坛|1036|差评|中控锁坏了 后面的2个门的锁不听使唤了
manushow|比亚迪F3论坛|202|差评|开车启动时，发现右后轮抱死了，完全不能转
小小小叶|比亚迪F3论坛|433|差评|刹车偏软，一脚踩底都不怎么灵敏
rainyhqx8|比亚迪F3论坛|38|好评|油耗只认真算过几次，在7.2-8.2之间
西羊夏赛l|比亚迪F3论坛|40|差评|感觉起步肉
西羊夏赛l|比亚迪F3论坛|48|差评|油耗高，磨合期在市区开空调跑油耗大概上12~14个了
西羊夏赛l|比亚迪F3论坛|56|中评|市区大概不开空调9个油
西羊夏赛l|比亚迪F3论坛|40|好评|高速的油耗表现真不错，70~90匀速行驶的油耗大概在5~6个
西羊夏赛l|比亚迪F3论坛|44|好评|100~120码行驶的油耗大概在7个左右，还是很省油的
西羊夏赛l|比亚迪F3论坛|51|好评|小R的操控性之好大大出乎我的意料
西羊夏赛l|比亚迪F3论坛|51|好评|车身对方向的响应非常的灵敏
西羊夏赛l|比亚迪F3论坛|48|好评|乘坐的话可能会有些偏硬，不过这正是我喜欢的
西羊夏赛l|比亚迪F3论坛|46|好评|操控感觉非常好
西羊夏赛l|比亚迪F3论坛|56|好评|到了3000转，发动机对油门的响应很敏感
wx007dgy8|比亚迪F3论坛|55|差评|整车的隔音有待加强
wx007dgy8|比亚迪F3论坛|57|中评|油耗还算可以接受,一般百公里油耗在7.5L-8.5L之间
wx007dgy8|比亚迪F3论坛|64|差评|拉线油门长时间跑高速的话, 右脚脚底踩到发麻,一个字累
wx007dgy8|比亚迪F3论坛|51|差评|开空调之后的噪音有点大
wx007dgy8|比亚迪F3论坛|52|差评|后排座椅的宽度偏短,对大腿的承托较差
wx007dgy8|比亚迪F3论坛|50|差评|钣金的工艺有待提升
suyb04|比亚迪F3论坛|54|差评|发动机噪音大
suyb04|比亚迪F3论坛|52|差评|标准版的喇叭不好，就前门2个喇叭，感觉那2个高音没有吧
suyb04|比亚迪F3论坛|67|好评|开了一下空调试试，制冷效果很好，赞一个
suyb04|比亚迪F3论坛|60|好评|空间是足够哦
suyb04|比亚迪F3论坛|51|好评|后排也很不错
suyb04|比亚迪F3论坛|59|差评|方向盘不正
suyb04|比亚迪F3论坛|67|差评|在平路跑起来感觉车身有点发抖不知道什么原因
hjmzll24|比亚迪F3论坛|69|差评|首先是玻璃升降器坏，已经变形
hjmzll24|比亚迪F3论坛|54|差评|两后减震器出现漏油
hjmzll24|比亚迪F3论坛|67|差评|门窗偶有异响
hjmzll24|比亚迪F3论坛|71|差评|百公里油耗的确比较高，我的是8个多点
hjmzll24|比亚迪F3论坛|58|差评|后车门比较难关，要用很大的力
hjmzll24|比亚迪F3论坛|53|差评|减震效果不好，过障碍很硬
hjmzll24|比亚迪F3论坛|62|差评|引擎盖等地方裂缝比较大，两边不对称
碧云剑wy45|比亚迪F3论坛|56|好评|市区道路跑平均油耗8L左右
碧云剑wy45|比亚迪F3论坛|52|好评|高速油耗大约在7L左右
jjjjjjx067|比亚迪F3论坛|47|中评|综合油耗就是8.05L/100KM
chenyan963dp4|比亚迪F3论坛|35|差评|城市内油耗一直保持在11升左右
chenyan963dp4|比亚迪F3论坛|40|好评|动力强
chenyan963dp4|比亚迪F3论坛|39|好评|提速很快
chenyan963dp4|比亚迪F3论坛|42|好评|加速时有推背感
金毛星期五|比亚迪F3论坛|433|差评|跑高速时，稍微有点坡度就没力
金毛星期五|比亚迪F3论坛|447|差评|油门踩到底也无法将速度快速加上去
金毛星期五|比亚迪F3论坛|450|差评|如果有点坡度超车，速度提不上去
tr8282|比亚迪F3论坛|130|差评|方向盘往右打的时候会感觉外面有金属摩擦的声音，很刺耳。
坐看飘云|比亚迪F3论坛|264|中评|小3把原车的4了喇叭拆下来，改换成漫步者玫金系列的G611A和G693A ，没有做隔音
张家港F3DM|比亚迪F3论坛|7266|中评|,油箱加满加了33L,因为加油前有剩余油,估计最大的加油量在37-38左右,总油量我估计要在40L以上的,
张家港F3DM|比亚迪F3论坛|7283|中评|还有,上次有人问推到行车档后,松开刹车,是否会与普通车一样行走,现在可以给个肯定回答了:会自己启动慢慢行车,与普通自动档的车感觉是一样的
yanimin77fgpu|比亚迪F3论坛|566|好评|行驶时比较安静，特别是行人较多的十字路口或者小区内，不鸣笛提示，前面的人根本不知道后面有车；
yanimin77fgpu|比亚迪F3论坛|569|差评|方向盘转向很沉，悬挂很硬，
yanimin77fgpu|比亚迪F3论坛|579|差评|因为铁电池放在车辆底盘下面的原因，离地间隙要比F3小，过减速带时一直都格外小心
yanimin77fgpu|比亚迪F3论坛|585|好评|在等红灯之后纯电模式起步很给力，有很强的推倍感，很爽。
宝宝在睡觉|比亚迪F3论坛|152|差评|我把水箱前面用纸板挡死也不行，特别是不能跑长途，4个门窗都是霜，还冻脚
未留江湖|比亚迪F3论坛|117|差评|F3原装音响效果说实话一般，虽然6个喇叭，其实和2个喇叭没区别后来，
xjcok|比亚迪F3论坛|90|差评|刚刚购买了一辆f3标准版，是2010年11月份生产的，准备在后置物板上加装两个喇叭，可是竟然连线路都没有预留，真是无语了
痛快的死|比亚迪F3论坛|262|好评|其实F3夜间内饰很漂亮的,可是不知道怎么能拍出那种效果
wanghaojj121|比亚迪论坛|139|好评|底盘还可以，风里来雨里去的，还从来都没把我仍在路上过
wanghaojj121|比亚迪论坛|164|差评|油漆太差，薄得心疼，由于我的小3总是到处跑，路上遇到各种各样的车，特别提朋友们要注意，碰到那些拉石头，石屑的后八轮子时候一定要让远些，他上面掉下来的再小的石子也能把你的漆给你砸掉
wanghaojj121|比亚迪论坛|154|差评|车辆隔音完全不行，密封性能不好，至今驾驶侧的门总有一条缝能进风，而且时速超过90那个躁音就全出来了，完全没有隔音。影响谈话，听音乐。
wanghaojj121|比亚迪论坛|140|差评|整车质量有待提高，过那种特破的路的时候就能显出整车的刚性了，有时候走那种路车子那个隔吱隔吱的声音让人心疼。
wanghaojj121|比亚迪论坛|146|差评|这车开起来呢，动力只能说是够用，1.5的发动机，如果你在路上超车的话，最好的还是降一档为妙，超车比较肉，而且后劲也不大！
wanghaojj121|比亚迪论坛|154|好评|但是带来的一点好处就是油耗不高，真的！这是我使用2年来最佩服的一点，这个发动机最大的特点就是节油，本人开车12年，驾驶习惯一直良好，没有那种猛踩油门和刹车的习惯。省道一般就是70马的速度，高速也就90-100，综合油耗才7个油！
wanghaojj121|比亚迪论坛|139|差评|刹车：这车的刹车不是很有信心，有的时候总担心不能刹住，给人的信心感不足，前半程刹车基本叫只有一点作用，到后半程的作用才大起来，希望大家在这方面可以注意下，看我说的对不对！
wanghaojj121|比亚迪论坛|137|差评|其实小3的内饰还是可以的，不过我最讨厌的就是这个假桃木，看着不舒服。你个塑料的一下就能看出来，太假了，还不如银色的看着舒服。-
wanghaojj121|比亚迪论坛|153|差评|发动机舱，没有护盖的，好脏吧！~
yuanfangjy|比亚迪论坛|495|差评|我的这批车前减震因为缝隙过大，可能会造成行驶中的异响，要免费更换新的减震。
yuanfangjy|比亚迪论坛|492|差评|F3是出了名的异响的
王璐|比亚迪论坛|185|差评|F3R左右转向灯闪的快
arty_lee|比亚迪F3论坛|5822|好评|安静，电动机真的很安静，只有胎噪和风噪，没有发动机的声音，因为距离短提不起速，虽然拨到HEV档，仍无法调动发动机加入。 
arty_lee|比亚迪F3论坛|5827|好评|提速快，CVT很平稳，基本动力一点就有，提速还算满意，比起我的本田雅阁一点不差。 
arty_lee|比亚迪F3论坛|5825|好评|仪表界面清晰，TFT屏幕还算精细。
arty_lee|比亚迪F3论坛|5832|好评|操控性还行，试车的时候专门试了下40-50公里时速下的蛇行，稳定性不错，我猜有两个原因，一是车本身比较重，且悬挂硬，这点在过坎的时候得到印证，二是电池放尾箱，平衡了重量，估计前后重量比较一致，所以操控性就强。
arty_lee|比亚迪F3论坛|5847|差评|做工粗，跟F3没两样，就是国产6万元级别的车，很多细节都不行，毛糙。 
arty_lee|比亚迪F3论坛|5827|差评|刹车软，有点刹不住的感觉。前半段不行，踩深一点才能有点感觉，急刹肯定要追尾。我感觉不知道是不是跟刹车回收电能的系统有关，完全感觉不到助力。买回来一定要大改刹车，加大刹车盘，加四活塞的钳。否则跟该车的动力性强不匹配，光加速快还要能刹得住才行。 
arty_lee|比亚迪F3论坛|5857|差评|备胎取用难，由于电池占了尾箱的一大部分，真正可用的空间不大，还要把备胎放里面，首先要拿掉一个遮盖板，男的还勉强，女的基本只能叫人帮忙。 
abalagux|比亚迪F3论坛|13901|差评|如发动机油封漏油、窗子升降机马达烧毁、排气管掉下来（是真的掉下来了，拖在地上，而且当时是行驶中，排气管突然掉下来拖在地上发出的巨响真的吓了我和周围的人一大跳）、前挡风玻璃漏水、风扇框变形、冷却水管膨胀开裂、蓄电池的极柱腐蚀被锈到断、
abalagux|比亚迪F3论坛|13906|差评|刹车尖锐异响
abalagux|比亚迪F3论坛|13904|好评|发动机声音确实比我的要轻一些，但是好像也没好得太多吧，开起来怎么样我就不知道了，没开过他的f3。
abalagux|比亚迪F3论坛|13915|差评|车速提到了60-80，更令我惊奇的是发动机声音轻微的都快听不到了，入耳99%尽是刺耳的胎噪和风噪声！要知道以前在这速度，发动机的轰鸣声起码占车内噪音的30%、40%！现在蓦然听不到发动机的嘶吼，只觉得胎噪路噪风噪实在是说不出的刺耳难听，以前都还不觉得的！
windliang|比亚迪F3论坛|99|中评|F3个人油耗报告，行驶里程36379公里，综合油耗6.31L/100KM。
车牌大本营|比亚迪论坛|72|差评|前几天开了了比亚迪F3去杭州上牌，车子感觉还是可以的，但就是不知道为什么刹车那么软，要踩到底才有感觉，
车牌大本营|比亚迪论坛|77|差评|油门第一脚感觉有点顿挫，踩下去才能正常。
gcj0320|比亚迪F3论坛|337|好评|拿到钥匙后发动觉得发动机的声音还不错，毕竟是三菱的发动机成熟了。
gcj0320|比亚迪F3论坛|352|好评|里面的配置还真不错 要有的都该有了 这六万还挺值的
gcj0320|比亚迪F3论坛|345|差评|不过在钣金工艺上还是欠缺点 特别是发动机引擎盖那里的缝隙比较大 不过有利散热
gcj0320|比亚迪F3论坛|352|好评|开到他家的过程中加速和操控性都还可以
爱克1|比亚迪论坛|121|好评|二是时尚、大气
爱克1|比亚迪论坛|113|好评|空间大。
爱克1|比亚迪论坛|127|好评|三是配置齐全，比较实用的东西该配的基本上都有了，防盗、安全气囊、遥控、自动落锁、中央扶手等等
爱克1|比亚迪论坛|110|好评|四是通过性好。底盘离地间隙170mm，大大高于一般汽车，便于效外野外行驶。
爱克1|比亚迪论坛|132|中评|下面是我一年来记录的一些数据，基本是准确的，平时市区内跑，节假日郊外跑。里程表行程15591公里，耗油1307公升，百公里平均油耗8.39升
爱克1|比亚迪论坛|121|好评|动力还行
爱克1|比亚迪论坛|118|好评|空调特好。
lxh730|比亚迪论坛|250|差评|我的F3离合器有时会发卡.停滞
p爱车车|比亚迪论坛|348|差评|门要关得震天 响 
p爱车车|比亚迪论坛|353|差评|行李箱要关得啪啪 响 
p爱车车|比亚迪论坛|380|差评|开二年底盘咚咚 响 
p爱车车|比亚迪论坛|351|差评|仪表台嗒嗒 响
p爱车车|比亚迪论坛|347|差评|座椅喀喀 响 
p爱车车|比亚迪论坛|351|差评|开二年喇叭定不 响 
p爱车车|比亚迪论坛|362|差评|一年内窗子会不 响 突然不能升降了 
p爱车车|比亚迪论坛|367|差评|空调突然会不 响 不制冷了!
liuzj69eq|比亚迪F3论坛|707|好评|空间很大，坐过的人都这么说
liuzj69eq|比亚迪F3论坛|722|好评|目前来看小三是超值的，空间足够家用，
liuzj69eq|比亚迪F3论坛|715|好评|动力只要你不高挡低速一点也不马虎，拉到2000转以上，一踩油门马上提速，
liuzj69eq|比亚迪F3论坛|706|中评|综合油耗7升多，除第一箱油9升多外，其它都在8升以下，过年回家单程1300公里，油耗在6。5升以下（含堵车六个钟） 
liuzj69eq|比亚迪F3论坛|707|差评|有一次右侧门异响，去4S看了下，就一卡口松脱，
liuzj69eq|比亚迪F3论坛|713|差评|2000公里左右时出现挂档不顺，有点散的感觉，现在反而什么问题都没了，没有任何异响，
liuzj69eq|比亚迪F3论坛|713|差评|就是减震太差，过减速带那减震要“咯噔咯噔咯噔”半分钟才停止，很失面子，
liuzj69eq|比亚迪F3论坛|715|好评|转向，刹车什么的都觉得很不错，
liuzj69eq|比亚迪F3论坛|710|差评|至于离合，油门什么的，习惯了就好，都偏重！
houql|比亚迪F3论坛|456|差评|手豪，雅典银，除了导航， 其他配置基本都有了。
houql|比亚迪F3论坛|473|好评|空间很大，
houql|比亚迪F3论坛|467|好评|配置也很全，
houql|比亚迪F3论坛|465|差评|就是后车门得用力关才行，好多同学都提到过这个问题，是不是和门锁有关系。
seleeooer|比亚迪论坛|264|中评|磨合期9.5个油正常吗？
dbpdlm|比亚迪论坛|406|差评|室内通风空滤 比没有好一点 打开杂物箱里面都是灰尘 也是没有密封好
dbpdlm|比亚迪论坛|398|差评|油门踏板比较重
shitongling|比亚迪论坛|295|差评|昨天杭州白天最高气温到了31.5度，在阳光下暴晒了一天的F0，里面热的像蒸笼，空调开了很久也感觉不到凉，大家的车子是不是也这样？有什么办法在夏天好受一点吗
yuanfangjy|比亚迪F3论坛|14222|好评|加好油出来，一路回家，保持80限速，感觉相当不错，噪音等我也很满意。 
yuanfangjy|比亚迪F3论坛|14207|差评|F3的外观其实我并不是非常欣赏，后悬挂感觉很高，屁股有点上翘，车身和轮胎间隙较大，
yuanfangjy|比亚迪F3论坛|14211|好评|但内饰做得还很满意，打孔真皮米色座椅，内门板也是同样的米色，
yuanfangjy|比亚迪F3论坛|14213|中评|中控台没有什么亮点，比较普通，
yuanfangjy|比亚迪F3论坛|14210|好评|中央通道的杯架不错，不用时还有盖子盖上，
yuanfangjy|比亚迪F3论坛|14215|好评|扶手箱是我比较惊喜的，在研究资料的时候并没有发现，主要还是试驾文章太少了，没有人来介绍。朋友的FOCUS不带扶手箱，看过后他也很喜欢，决定自己加装一个。 
yuanfangjy|比亚迪F3论坛|14215|好评|用F3时也没有感觉空间小，可能是因为我身材小的原因，但F3的空间确实还是不错的，
yuanfangjy|比亚迪F3论坛|14212|好评|再加上视野比普桑开阔一些，坐在里面感觉不到压抑。
yuanfangjy|比亚迪F3论坛|14214|好评|空调不错，冷热速度都较快，
yuanfangjy|比亚迪F3论坛|14211|好评|自动落锁也很适用，尤其我是常有小孩在车上，
À´×ÔÓÚ£º±ÈÑÇµÏF3ÂÛÌ³ ×÷Õß£ºyuanfangjy|±ÈÑÇµÏF3ÂÛÌ³|14224|好评|ÓÍÃÅÊÇÎÒ¾õµÃ²»Ì«ÊÊÓ¦µÄµØ·½£¬ÆÕÉ£µÄÓÍÃÅ½ÏÇåÎú£¬µãÒ»ÏÂ¾ÍÓÐ·´Ó¦£¬µ«F3µÄÓÍÃÅ±È½ÏÄ¾£¬½Å·ÅÉÏÈ¥ºóÒªÓÃÁ¦£¬Õâ¸öÁ¦¶È»¹ÒªÂýÂý¸Ð¾õÒ»ÏÂ£¬²»¹ýÏàÐÅÌìÌì¿ªºÜ¿ì¾Í»áÊÊÓ¦¡£
